time,open,high,low,close,volume
1580688000,0.01903,0.0225,0.01886,0.02199,980888883.29999995
1580774400,0.02199,0.02266,0.0202,0.02098,877010051.39999998
1580860800,0.02102,0.02223,0.02077,0.02155,570440728.89999998
1580947200,0.02154,0.02492,0.0215,0.02449,847034282.20000005
1581033600,0.02448,0.02518,0.0228,0.023,702031749.5
1581120000,0.023,0.02305,0.01945,0.02123,1047837209
1581206400,0.02121,0.0223,0.0207,0.02197,513940247.69999999
1581292800,0.0219,0.0223,0.02028,0.02159,530686843
1581379200,0.02157,0.02292,0.02081,0.0229,389524777.30000001
1581465600,0.02291,0.02455,0.0224,0.0228,780105062.89999998
1581552000,0.02282,0.02373,0.02172,0.02233,524733065.89999998
1581638400,0.02232,0.02383,0.02217,0.02326,441396099.5
1581724800,0.02327,0.02372,0.02,0.0209,589342906
1581811200,0.02091,0.02181,0.01859,0.02011,656256013.60000002
1581897600,0.02009,0.02022,0.01876,0.02009,407746218.30000001
1581984000,0.0201,0.02196,0.01966,0.02151,396611373.30000001
1582070400,0.02154,0.022,0.01925,0.01996,218514631.80000001
1582156800,0.01994,0.02073,0.01905,0.02071,231860140.09999999
1582243200,0.02068,0.0219,0.02028,0.02074,323094839.5
1582329600,0.02075,0.02115,0.02027,0.02076,154701488.19999999
1582416000,0.02076,0.023,0.02072,0.02229,368782509.5
1582502400,0.02228,0.02236,0.02,0.02078,334945077.30000001
1582588800,0.02075,0.02083,0.01868,0.01907,447437214.5
1582675200,0.01903,0.01947,0.01676,0.01841,473199920
1582761600,0.01842,0.0199,0.01746,0.01962,436872082.69999999
1582848000,0.01964,0.02043,0.01786,0.0202,455674502.30000001
1582934400,0.0202,0.0212,0.01981,0.02015,384070131
1583020800,0.02015,0.02108,0.01874,0.01935,419621195.60000002
1583107200,0.01934,0.02168,0.01901,0.02144,379683878.30000001
1583193600,0.02145,0.024,0.02047,0.02344,618780337.29999995
1583280000,0.02344,0.02737,0.02339,0.02511,1276187446.79999995
1583366400,0.02511,0.02796,0.02495,0.02639,899694395.60000002
1583452800,0.02636,0.02644,0.0243,0.02497,619002834.39999998
1583539200,0.02498,0.02922,0.02491,0.02679,986883714.79999995
1583625600,0.02679,0.0268,0.021,0.02143,945593045.10000002
1583712000,0.02148,0.02261,0.01867,0.02053,1257378101.4000001
1583798400,0.02053,0.02239,0.01988,0.02061,1046480525.29999995
1583884800,0.0206,0.02149,0.01723,0.01899,1133107149.0999999
1583971200,0.01898,0.01921,0.00845,0.00914,1745672785.4000001
1584057600,0.00935,0.01208,0.00632,0.01087,1501085364.5
1584144000,0.01082,0.01137,0.00952,0.00983,488809312.80000001
1584230400,0.00983,0.0115,0.00939,0.00986,568797501
1584316800,0.00986,0.00986,0.00674,0.00813,1111508586.5999999
1584403200,0.00815,0.00988,0.00797,0.00921,757899922.60000002
1584489600,0.00921,0.0093,0.0081,0.00912,713721987.29999995
1584576000,0.00913,0.01187,0.00896,0.01121,1066368718
1584662400,0.01122,0.0129,0.0096,0.01085,1011394442.70000005
1584748800,0.01085,0.01239,0.01,0.01121,646956811.70000005
1584835200,0.01119,0.01167,0.00983,0.01005,482278540.10000002
1584921600,0.01005,0.01152,0.00981,0.01114,458237815.89999998
1585008000,0.01117,0.01193,0.01078,0.01126,494571328.5
1585094400,0.01126,0.01163,0.01071,0.01147,354205387.69999999
1585180800,0.01147,0.01218,0.01128,0.01187,414075934.19999999
1585267200,0.01187,0.0122,0.01055,0.01076,282245581
1585353600,0.01078,0.0108,0.01,0.01062,345466205.30000001
1585440000,0.01063,0.01068,0.01001,0.01001,222731290.80000001
1585526400,0.01001,0.01113,0.01001,0.01068,288831345.19999999
1585612800,0.01068,0.01125,0.01063,0.01097,207916536.5
1585699200,0.01099,0.0114,0.01049,0.01122,406047767.19999999
1585785600,0.01123,0.01218,0.01115,0.01153,481322653.30000001
1585872000,0.01153,0.01199,0.01123,0.01158,256655936.69999999
1585958400,0.01157,0.01194,0.01132,0.01171,234563845.09999999
1586044800,0.0117,0.01175,0.01125,0.01142,202395294.40000001
1586131200,0.0114,0.01359,0.0114,0.01351,973640935.70000005
1586217600,0.01349,0.01396,0.01266,0.01294,945981292.60000002
1586304000,0.01293,0.01392,0.01275,0.01373,579952971.20000005
1586390400,0.01376,0.01404,0.01296,0.0135,473745175.69999999
1586476800,0.01349,0.01351,0.01146,0.012,573374715.29999995
1586563200,0.012,0.01262,0.01181,0.01223,361896064.5
1586649600,0.01223,0.01294,0.01185,0.01222,327218268.19999999
1586736000,0.01219,0.01225,0.0115,0.01199,358807189.10000002
1586822400,0.01199,0.01249,0.01172,0.01208,234080134.90000001
1586908800,0.0121,0.01227,0.01159,0.01164,160419299.09999999
1586995200,0.01163,0.01283,0.01124,0.0126,312664214
1587081600,0.01262,0.01305,0.01242,0.01274,214711136.30000001
1587168000,0.01272,0.01352,0.01266,0.01338,242036306.19999999
1587254400,0.01338,0.0138,0.01273,0.01287,303467372.30000001
1587340800,0.01289,0.01333,0.01175,0.01201,369477142.80000001
1587427200,0.012,0.01229,0.01164,0.01198,253992768.40000001
1587513600,0.01198,0.0128,0.01193,0.01277,186297144.80000001
1587600000,0.01278,0.01497,0.01245,0.01428,637233223.60000002
1587686400,0.01431,0.01576,0.01429,0.01468,658211884.79999995
1587772800,0.01468,0.0155,0.01433,0.01505,327689366.10000002
1587859200,0.01504,0.0161,0.01495,0.01563,384349987.30000001
1587945600,0.01562,0.01598,0.01476,0.01544,339737737.89999998
1588032000,0.01543,0.0158,0.01494,0.01571,240524707.5
1588118400,0.01566,0.01689,0.01548,0.01642,595281459.29999995
1588204800,0.01644,0.01663,0.01513,0.01543,582148930.20000005
1588291200,0.01541,0.01636,0.0154,0.01585,244563885.90000001
1588377600,0.01585,0.01721,0.01575,0.01691,317889542
1588464000,0.01694,0.01806,0.01648,0.01711,550034677.5
1588550400,0.01711,0.01747,0.01562,0.01697,521561645.30000001
1588636800,0.01697,0.01718,0.01627,0.01696,237462928.80000001
1588723200,0.01696,0.01817,0.0167,0.01704,412067567.80000001
1588809600,0.01706,0.01788,0.01671,0.0174,405555320.10000002
1588896000,0.0174,0.01851,0.01707,0.0179,361056114.30000001
1588982400,0.01792,0.01842,0.01718,0.01722,289308076.39999998
1589068800,0.01722,0.01725,0.01353,0.01533,833850313.20000005
1589155200,0.01532,0.01555,0.01375,0.01501,582927586.10000002
1589241600,0.01501,0.01823,0.01484,0.01727,752399546.29999995
1589328000,0.01727,0.02041,0.01712,0.0203,906004405.5
1589414400,0.02031,0.02164,0.01931,0.02014,1092428972.79999995
1589500800,0.02014,0.02084,0.01877,0.01919,602955851.70000005
1589587200,0.0192,0.02095,0.0186,0.01998,564466821.39999998
1589673600,0.01998,0.02092,0.0199,0.02025,300632626.10000002
1589760000,0.02026,0.02121,0.02015,0.02064,334258713.10000002
1589846400,0.02065,0.02297,0.02017,0.02226,681899073.70000005
1589932800,0.02227,0.02242,0.0195,0.02084,657775245.70000005
1590019200,0.02082,0.02098,0.0182,0.01919,723993570.70000005
1590105600,0.01926,0.02104,0.0189,0.02039,441542448.10000002
1590192000,0.02039,0.02072,0.01964,0.02006,298427388.39999998
1590278400,0.02006,0.02173,0.01922,0.01927,597153540.5
1590364800,0.01924,0.02163,0.01905,0.02132,457281327.30000001
1590451200,0.02132,0.02689,0.02114,0.02582,1251730829
1590537600,0.02582,0.02649,0.02362,0.0244,1230182337.4000001
1590624000,0.02441,0.02668,0.02382,0.02518,701990008.79999995
1590710400,0.02519,0.02695,0.02476,0.02588,605050160
1590796800,0.02589,0.02589,0.023,0.02412,694494451
1590883200,0.02413,0.02491,0.01953,0.02048,1227741822.0999999
1590969600,0.02049,0.0227,0.02027,0.02178,888397657.29999995
1591056000,0.02178,0.02254,0.0197,0.02081,747702529.89999998
1591142400,0.0208,0.02192,0.02025,0.02164,385143570.60000002
1591228800,0.02164,0.02216,0.02061,0.02172,455347855.89999998
1591315200,0.0217,0.02195,0.01982,0.02061,365558469.80000001
1591401600,0.02062,0.02092,0.02013,0.02067,249854271.5
1591488000,0.02065,0.02076,0.01952,0.02031,312933693.5
1591574400,0.02032,0.02072,0.02,0.02032,164298887.30000001
1591660800,0.02032,0.02045,0.02002,0.02015,135621427.5
1591747200,0.02015,0.02189,0.02012,0.02129,520031923.69999999
1591833600,0.02128,0.02196,0.01925,0.01962,452116049
1591920000,0.01965,0.02057,0.0195,0.02047,201256801.90000001
1592006400,0.02047,0.02076,0.02031,0.02066,156752862.90000001
1592092800,0.02066,0.0214,0.02024,0.02056,292442091
1592179200,0.02057,0.0206,0.01877,0.0204,354470772.89999998
1592265600,0.0204,0.02084,0.01989,0.0206,192027676.90000001
1592352000,0.02061,0.0214,0.01998,0.02073,262324436.09999999
1592438400,0.02072,0.02077,0.02003,0.02041,164829825
1592524800,0.02041,0.02081,0.01985,0.02027,179079796.90000001
1592611200,0.02026,0.02269,0.0202,0.02259,488381253
1592697600,0.0226,0.023,0.02122,0.02137,454445118.69999999
1592784000,0.02137,0.02248,0.02122,0.02221,323361504.30000001
1592870400,0.02225,0.02298,0.0217,0.02261,247829918
1592956800,0.02263,0.02274,0.02138,0.02239,278347442.39999998
1593043200,0.02236,0.0224,0.02123,0.02157,191290746
1593129600,0.02157,0.02198,0.02055,0.02081,250968688.09999999
1593216000,0.02083,0.02123,0.01875,0.01935,269363575.30000001
1593302400,0.01934,0.02036,0.01775,0.02003,275098376.39999998
1593388800,0.02004,0.02039,0.01851,0.01963,330509492.19999999
